city,lat,long,temp,max_temp,humidity,wind speed,clouds
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Abu Dhabi,24.47,54.37,32.53,33.0,46,4.1,0
Uribia,11.71,-72.27,26.29,26.29,83,0.63,96
Castro,-42.48,-73.76,10.0,10.0,100,1.5,0
Kahului,20.89,-156.47,28.8,33.0,43,8.7,40
Khatanga,71.98,102.47,0.99,0.99,78,4.7,54
Hobart,-42.88,147.33,12.51,13.33,46,2.6,75
Torbay,47.66,-52.73,6.94,7.78,93,3.6,90
Mount Pleasant,33.16,-94.97,28.41,29.44,58,3.6,1
Awbari,26.59,12.77,25.99,25.99,22,2.11,0
Kholodnyy,62.72,147.95,-4.81,-4.81,50,3.0,100
Half Moon Bay,37.46,-122.43,30.84,33.0,17,8.7,1
Hilo,19.71,-155.08,24.88,30.0,55,5.1,75
Port Alfred,-33.59,26.89,12.22,12.22,73,1.34,61
Kaeo,-35.1,173.78,14.89,14.89,64,7.68,3
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Tomsk,56.49,84.95,3.1,3.89,83,5.0,0
Husavik,50.56,-96.99,14.64,15.56,63,5.49,58
Longyearbyen,78.22,15.63,3.0,3.0,86,3.1,75
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Heinola,61.2,26.03,3.94,4.0,80,2.1,90
Qaanaaq,77.48,-69.36,-6.31,-6.31,87,2.57,96
Dikson,73.51,80.55,2.79,2.79,96,9.07,100
Korem,12.51,39.52,14.29,14.29,58,1.21,100
Jamestown,-33.21,138.6,15.39,15.39,53,4.73,0
Upernavik,72.79,-56.15,1.99,1.99,88,4.4,100
Chokurdakh,70.62,147.9,-1.01,-1.01,62,3.1,0
Hermanus,-34.42,19.24,13.58,13.89,80,5.36,0
Alfred,45.56,-74.88,13.92,15.0,87,1.5,75
Georgetown,6.8,-58.16,27.92,29.0,74,5.1,40
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Semnan,35.58,53.39,12.69,12.69,35,0.57,0
Buea,4.16,9.23,24.0,24.0,100,1.5,75
Rock Sound,24.9,-76.2,26.89,26.89,81,6.17,79
Vieques,18.43,-65.83,24.47,26.0,88,2.6,75
Castro,-42.48,-73.76,10.0,10.0,100,1.5,0
Albany,42.65,-73.75,14.6,17.22,93,1.5,90
Sydney,-33.85,151.22,19.27,21.67,42,3.6,20
Puno,-15.84,-70.03,12.0,12.0,40,4.1,0
Ponta Do Sol,-20.63,-46.0,19.79,19.79,74,2.13,51
Solnechnyy,50.72,136.64,8.39,8.39,48,6.76,16
Villanueva De La Serena,38.97,-5.8,17.78,17.78,84,1.34,23
Lipin Bor,60.26,37.97,0.89,0.89,97,2.09,100
Oistins,13.07,-59.53,28.0,28.0,83,6.2,20
Goderich,43.74,-81.71,13.14,15.0,84,1.79,0
Faanui,-16.48,-151.75,26.59,26.59,76,9.0,54
Sayyan,15.17,44.32,21.99,21.99,60,0.69,22
Ayan,38.23,44.7,8.19,8.19,21,2.58,0
Castro,-42.48,-73.76,10.0,10.0,100,1.5,0
Lompoc,34.64,-120.46,27.42,32.78,27,3.6,1
Oruro,-17.97,-67.11,13.29,13.29,48,5.51,15
Bandiagara,14.35,-3.61,30.0,30.0,84,3.1,0
Olinda,-37.84,145.39,13.15,15.56,62,3.1,75
Sokoto,13.06,5.24,28.59,28.59,54,3.94,30
Cape Town,-33.93,18.42,14.73,16.11,76,4.1,0
Mataura,-46.19,168.86,5.56,5.56,79,2.24,100
Airai,-8.93,125.41,28.19,28.19,46,1.35,41
Mar Del Plata,-46.43,-67.52,16.99,16.99,37,4.33,3
Avera,33.19,-82.53,26.49,28.0,58,0.6,1
Shingu,33.72,135.99,24.0,24.0,64,1.0,40
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Kodiak,39.95,-94.76,23.1,24.0,83,4.6,40
Saint-georges,46.12,-70.67,10.0,12.22,100,4.68,100
Jamestown,-33.21,138.6,15.39,15.39,53,4.73,0
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Lavrentiya,65.58,-170.99,2.19,2.19,62,2.28,50
Nanortalik,60.14,-45.24,5.69,5.69,77,0.62,78
Latung,-8.45,120.42,28.59,28.59,55,1.05,100
Miraflores,-16.39,-71.52,14.0,14.0,33,1.0,0
Esperance,-33.86,121.89,17.0,17.0,36,6.2,52
Yuty,-26.61,-56.25,21.69,21.69,63,3.38,12
Hobart,-42.88,147.33,12.51,13.33,46,2.6,75
Cabedelo,-6.97,-34.84,24.0,24.0,83,3.1,40
Mataura,-46.19,168.86,5.56,5.56,79,2.24,100
Pevek,69.7,170.27,1.29,1.29,94,5.22,100
Busselton,-33.64,115.35,16.59,18.33,61,6.23,62
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Lebu,8.96,38.73,13.29,13.29,89,0.54,89
Kodiak,39.95,-94.76,23.1,24.0,83,4.6,40
Cape Town,-33.93,18.42,14.73,16.11,76,4.1,0
Albany,42.65,-73.75,14.6,17.22,93,1.5,90
Taksimo,56.36,114.84,7.39,7.39,74,1.01,27
Aklavik,68.22,-135.01,8.0,8.0,61,2.1,40
Talnakh,69.49,88.39,1.0,1.0,84,7.0,75
Bam,29.11,58.36,13.99,13.99,30,1.52,0
Albany,42.65,-73.75,14.6,17.22,93,1.5,90
Narasannapeta,18.42,84.04,24.49,24.49,96,3.67,100
Ngunguru,-35.62,174.5,15.59,15.59,59,7.2,0
Nikolskoye,59.7,30.79,1.73,5.0,94,1.0,0
Bosaso,11.28,49.18,29.89,29.89,69,2.91,0
Nanortalik,60.14,-45.24,5.69,5.69,77,0.62,78
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Hermanus,-34.42,19.24,13.58,13.89,80,5.36,0
Kapaa,22.08,-159.32,28.16,30.0,78,2.1,90
Victoria,5.28,115.24,30.04,31.0,55,4.6,75
Bredasdorp,-34.53,20.04,13.94,14.0,67,6.2,20
Kuybyshevo,44.63,33.86,16.99,16.99,60,8.95,100
Khatanga,71.98,102.47,0.99,0.99,78,4.7,54
Constitucion,23.99,-104.67,19.26,20.0,52,3.1,90
Dongli,24.18,117.61,25.0,25.0,57,5.0,0
Kapaa,22.08,-159.32,28.16,30.0,78,2.1,90
Bambous Virieux,-20.34,57.76,21.83,22.0,88,5.7,75
Avarua,-21.21,-159.78,24.0,24.0,60,6.2,25
Srostki,52.42,85.7,6.99,6.99,67,1.96,19
Chemal,51.41,86.0,4.39,4.39,74,1.46,15
Voineasa,45.42,23.96,13.93,14.0,82,0.5,90
Maniitsoq,65.42,-52.9,4.69,4.69,75,1.81,0
Bluff,-23.58,149.07,23.89,23.89,53,5.5,45
Siverek,37.75,39.32,20.0,20.0,32,0.38,0
Yellowknife,62.45,-114.38,6.84,7.0,65,4.6,75
Butaritari,3.07,172.79,29.09,29.09,75,5.69,25
New Norfolk,-42.78,147.06,12.74,13.33,46,2.6,75
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Rawson,-43.3,-65.11,15.79,15.79,49,3.78,23
Cape Town,-33.93,18.42,14.73,16.11,76,4.1,0
College,64.86,-147.8,6.45,8.33,60,2.6,90
Puerto Madero,-34.61,-58.36,19.17,20.56,52,0.5,0
Souillac,45.6,-0.6,15.38,17.22,93,3.6,20
Longyearbyen,78.22,15.63,3.0,3.0,86,3.1,75
Kroya,-6.5,108.06,26.59,26.59,56,2.76,14
Oksfjord,70.24,22.35,4.34,6.0,80,3.1,96
Katsuura,33.93,134.5,23.61,25.56,69,4.1,20
Mareeba,-16.99,145.42,25.76,28.0,54,8.2,90
Albany,42.65,-73.75,14.6,17.22,93,1.5,90
Ledyard,41.44,-72.02,17.13,20.0,67,2.6,20
Atuona,-9.8,-139.03,26.49,26.49,76,8.03,0
Garowe,8.41,48.48,25.79,25.79,57,6.58,82
Kurilsk,45.23,147.88,13.29,13.29,66,12.75,18
Dayong,25.02,118.29,25.0,25.0,57,5.0,0
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Kapaa,22.08,-159.32,28.16,30.0,78,2.1,90
Bambous Virieux,-20.34,57.76,21.83,22.0,88,5.7,75
Vaitape,-16.52,-151.75,26.59,26.59,76,9.0,54
Esperance,-33.86,121.89,17.0,17.0,36,6.2,52
Gazojak,41.19,61.4,13.99,13.99,32,4.29,0
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Ust-kulom,61.69,53.69,1.39,1.39,97,3.16,100
Tuktoyaktuk,69.44,-133.03,5.0,5.0,80,1.5,20
Qaanaaq,77.48,-69.36,-6.31,-6.31,87,2.57,96
Esperance,-33.86,121.89,17.0,17.0,36,6.2,52
Victoria,5.28,115.24,30.04,31.0,55,4.6,75
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Almaty,43.24,76.95,12.0,12.0,71,2.0,75
Thinadhoo,0.53,72.93,26.99,26.99,66,0.13,100
Souillac,45.6,-0.6,15.38,17.22,93,3.6,20
Lasa,34.92,32.53,19.28,20.0,63,3.1,0
Zenzeli,45.92,47.05,12.09,12.09,71,4.61,86
Hithadhoo,-0.6,73.08,27.39,27.39,73,4.35,100
Skjervoy,70.03,20.97,8.29,8.29,60,5.01,89
Port Elizabeth,39.31,-74.98,20.02,23.0,63,2.6,1
Busselton,-33.64,115.35,16.59,18.33,61,6.23,62
Talara,-4.58,-81.27,17.49,17.49,94,6.38,76
Kedrovyy,56.17,91.82,5.0,5.0,80,3.0,0
